index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,data/4_comp/na_os_oc_distribute_nine_RAVEN_9869_test.png,holder,D,0,A,B,C,D,E,F,G,H
1,data/4_comp/na_os_oc_in_distribute_four_out_center_single_RAVEN_9994_train.png,holder,G,0,A,B,C,D,E,F,G,H
2,data/4_comp/na_os_oc_center_single_RAVEN_9946_val.png,holder,B,0,A,B,C,D,E,F,G,H
3,data/4_comp/na_os_oc_left_center_single_right_center_single_RAVEN_9697_val.png,holder,G,0,A,B,C,D,E,F,G,H
4,data/4_comp/na_os_oc_in_distribute_four_out_center_single_RAVEN_9992_train.png,holder,D,0,A,B,C,D,E,F,G,H
5,data/4_comp/na_os_oc_up_center_single_down_center_single_RAVEN_9994_train.png,holder,H,0,A,B,C,D,E,F,G,H
6,data/4_comp/na_os_oc_up_center_single_down_center_single_RAVEN_9992_train.png,holder,H,0,A,B,C,D,E,F,G,H
7,data/4_comp/na_os_oc_center_single_RAVEN_9926_val.png,holder,B,0,A,B,C,D,E,F,G,H
8,data/4_comp/na_os_oc_in_center_single_out_center_single_RAVEN_9975_train.png,holder,A,0,A,B,C,D,E,F,G,H
9,data/4_comp/na_os_oc_in_center_single_out_center_single_RAVEN_9970_train.png,holder,A,0,A,B,C,D,E,F,G,H
10,data/4_comp/na_os_oc_distribute_four_RAVEN_9791_train.png,holder,H,0,A,B,C,D,E,F,G,H
11,data/4_comp/na_os_oc_distribute_four_RAVEN_9810_train.png,holder,H,0,A,B,C,D,E,F,G,H
12,data/4_comp/na_os_oc_distribute_nine_RAVEN_9881_train.png,holder,D,0,A,B,C,D,E,F,G,H
13,data/4_comp/na_os_oc_left_center_single_right_center_single_RAVEN_9695_train.png,holder,B,0,A,B,C,D,E,F,G,H
